"id","UpdateAt","Weight","Height"
"8a7bdc22c6","2018-10-31T00:00:00.000Z",82,165
"72f2661296","2018-01-14T00:00:00.000Z",62,156
"72f2661296","2018-10-20T00:00:00.000Z",64.5,156
"72f2661296","2019-01-11T00:00:00.000Z",59.2,156
"72f2661296","2018-01-27T00:00:00.000Z",64.5,156
"72f2661296","2019-01-02T00:00:00.000Z",64.5,156
"72f2661296","2019-04-12T00:00:00.000Z",59.2,156
"e95ba8da3f","2018-11-11T00:00:00.000Z",0,0
"23ae6636df","2017-11-26T00:00:00.000Z",55,160
"23ae6636df","2017-11-15T00:00:00.000Z",0,0
"28d560db5e","2018-12-17T00:00:00.000Z",69,165
"d250cd6173","2018-08-10T00:00:00.000Z",61.4,164
"d250cd6173","2018-12-06T00:00:00.000Z",61.4,164
"d250cd6173","2018-12-22T00:00:00.000Z",60.5,164
"d250cd6173","2017-08-17T00:00:00.000Z",63,164
"049c1842db","2018-11-20T00:00:00.000Z",68,165
"049c1842db","2017-11-21T00:00:00.000Z",68,165
"df7b19594f","2017-12-26T00:00:00.000Z",85,178
"df7b19594f","2017-11-17T00:00:00.000Z",85,178
"262448399a","2018-12-15T00:00:00.000Z",64,163
"f3e6d18e30","2017-11-26T00:00:00.000Z",73.5,173
"bc182f3190","2017-11-30T00:00:00.000Z",10,100
"5251c8ca7f","2017-10-27T00:00:00.000Z",0,0
"dd1a6690af","2019-02-05T00:00:00.000Z",42,160
"9a685bd928","2018-05-24T00:00:00.000Z",80,161
"9a685bd928","2018-11-10T00:00:00.000Z",80,161
"bf8d61b415","2018-11-02T00:00:00.000Z",80,165
"bf8d61b415","2018-01-31T00:00:00.000Z",80,165
"c5c5e20907","2017-10-22T00:00:00.000Z",10,100
"3216099a09","2017-12-29T00:00:00.000Z",85,176
"3216099a09","2018-04-01T00:00:00.000Z",80,176
"652110251d","2019-02-01T00:00:00.000Z",62,170
"652110251d","2018-12-29T00:00:00.000Z",62,170
"10f49ad956","2017-08-15T00:00:00.000Z",58,165
"80ca882219","2019-03-07T00:00:00.000Z",65,170
"3178328236","2019-05-15T00:00:00.000Z",52,165
"3178328236","2017-11-28T00:00:00.000Z",52,165
"3178328236","2018-11-17T00:00:00.000Z",52,165
"3178328236","2018-10-25T00:00:00.000Z",52,165
"b37c7da983","2019-03-02T00:00:00.000Z",90,190
"ae6d959b00","2018-11-02T00:00:00.000Z",0,0
"630462679f","2018-10-26T00:00:00.000Z",55,158
"630462679f","2019-05-10T00:00:00.000Z",55,158
"630462679f","2018-11-18T00:00:00.000Z",55,158
"630462679f","2017-10-29T00:00:00.000Z",55,158
"182aedad89","2017-11-12T00:00:00.000Z",73,173
"182aedad89","2018-11-05T00:00:00.000Z",73,173
"eb3e96619f","2018-11-09T00:00:00.000Z",45,177
"0edde4ea74","2018-11-01T00:00:00.000Z",67,151
"0edde4ea74","2018-02-10T00:00:00.000Z",67,150
"0edde4ea74","2018-10-25T00:00:00.000Z",67,150
"0edde4ea74","2018-11-17T00:00:00.000Z",67,151
"10ba3c8d79","2017-11-29T00:00:00.000Z",70,168
"72b99eb399","2017-08-25T00:00:00.000Z",48,156
"72b99eb399","2017-08-02T00:00:00.000Z",49,156
"246e1b0913","2018-10-20T00:00:00.000Z",42,154
"246e1b0913","2018-10-27T00:00:00.000Z",42,154
"b11d0fa69c","2018-10-18T00:00:00.000Z",49,161
"f17e8e1bea","2018-08-26T00:00:00.000Z",10,100
"32b877291e","2018-12-19T00:00:00.000Z",59,162
"fce0d6a419","2018-12-01T00:00:00.000Z",0,0
"fce0d6a419","2018-12-05T00:00:00.000Z",0,0
"fce0d6a419","2017-09-30T00:00:00.000Z",0,0
"fe2c1baf08","2018-11-01T00:00:00.000Z",85,160
"fe2c1baf08","2018-09-26T00:00:00.000Z",85,160
"216d1d9696","2017-10-30T00:00:00.000Z",47,163
"640219f419","2018-10-12T00:00:00.000Z",64,171
"640219f419","2018-10-02T00:00:00.000Z",10,100
"74ffa67092","2017-10-13T00:00:00.000Z",85,175
"74ffa67092","2017-10-08T00:00:00.000Z",85,175
"91fb845ef5","2017-09-30T00:00:00.000Z",51.8,153
"59987f8fb5","2018-12-07T00:00:00.000Z",88,178
"59987f8fb5","2017-11-07T00:00:00.000Z",80,178
"59987f8fb5","2019-09-02T00:00:00.000Z",86,178
"44fe44aa19","2017-10-14T00:00:00.000Z",0,0
"b351ff3546","2017-11-16T00:00:00.000Z",58,165
"b351ff3546","2017-11-13T00:00:00.000Z",58,165
"b351ff3546","2017-11-15T00:00:00.000Z",58,165
"aeed9a14ff","2017-08-07T00:00:00.000Z",80,170
"d36bb1cd72","2019-05-22T00:00:00.000Z",0,0
"d36bb1cd72","2018-10-28T00:00:00.000Z",0,0
"d56d60983d","2019-09-08T00:00:00.000Z",62,150
"362bb3a690","2018-11-20T00:00:00.000Z",49,157
"362bb3a690","2019-05-17T00:00:00.000Z",49,157
"362bb3a690","2018-10-27T00:00:00.000Z",49,157
"362bb3a690","2019-05-01T00:00:00.000Z",49,157
"24385cde5e","2018-11-25T00:00:00.000Z",75,178
"24385cde5e","2018-12-06T00:00:00.000Z",75,178
"24385cde5e","2018-12-10T00:00:00.000Z",75,178
"f271b68c6e","2018-02-23T00:00:00.000Z",85,170
"e78735322c","2017-11-02T00:00:00.000Z",45,160
"cd28df89d0","2017-11-08T00:00:00.000Z",0,0
"64e792cd51","2019-06-03T00:00:00.000Z",55,148
"8c8cb6ea6e","2017-09-09T00:00:00.000Z",50,155
"cf488e1bbc","2017-08-18T00:00:00.000Z",10,100
"e3f2a3efc8","2019-04-15T00:00:00.000Z",85,185
"e3f2a3efc8","2018-10-20T00:00:00.000Z",85,185
"e3f2a3efc8","2018-05-25T00:00:00.000Z",85,185
"e3f2a3efc8","2018-10-15T00:00:00.000Z",85,185
"e4ea148c31","2017-11-12T00:00:00.000Z",60,170
"e4ea148c31","2017-11-10T00:00:00.000Z",60,170
"005dc458fa","2018-10-22T00:00:00.000Z",63,175
"005dc458fa","2017-10-23T00:00:00.000Z",63,175
"005dc458fa","2018-11-18T00:00:00.000Z",63,175
"005dc458fa","2018-08-01T00:00:00.000Z",63,175
"005dc458fa","2018-12-13T00:00:00.000Z",63,175
"005dc458fa","2019-05-10T00:00:00.000Z",63,175
"b2c4f1335c","2018-10-29T00:00:00.000Z",10,100
"b2c4f1335c","2018-11-16T00:00:00.000Z",10,100
"a6f61bd97e","2018-11-19T00:00:00.000Z",46.9,153
"a6f61bd97e","2017-11-16T00:00:00.000Z",46.9,153
"a6f61bd97e","2018-10-20T00:00:00.000Z",46.9,153
"a6f61bd97e","2018-10-27T00:00:00.000Z",46.9,153
