"id","ActivityDate","MVPASession"
"ec296e97c0","29/8/2019","[{""start"":451;""end"":459;""duration"":13};{""start"":522;""end"":528;""duration"":11};{""start"":568;""end"":575;""duration"":12};{""start"":595;""end"":604;""duration"":14};{""start"":622;""end"":635;""duration"":18};{""start"":654;""end"":698;""duration"":49};{""start"":787;""end"":793;""duration"":11};{""start"":805;""end"":812;""duration"":12};{""start"":857;""end"":863;""duration"":11};{""start"":888;""end"":889;""duration"":6};{""start"":923;""end"":927;""duration"":9};{""start"":950;""end"":951;""duration"":6};{""start"":958;""end"":967;""duration"":14};{""start"":1001;""end"":1004;""duration"":8};{""start"":1010;""end"":1015;""duration"":10};{""start"":1072;""end"":1081;""duration"":14};{""start"":1161;""end"":1162;""duration"":6};{""start"":1171;""end"":1179;""duration"":13};{""start"":1194;""end"":1210;""duration"":21}]"
"ec296e97c0","27/8/2019","[{""start"":64;""end"":65;""duration"":6};{""start"":451;""end"":456;""duration"":10};{""start"":513;""end"":516;""duration"":8};{""start"":537;""end"":541;""duration"":9};{""start"":635;""end"":637;""duration"":7};{""start"":764;""end"":773;""duration"":14};{""start"":818;""end"":820;""duration"":7};{""start"":852;""end"":853;""duration"":6};{""start"":860;""end"":861;""duration"":6};{""start"":953;""end"":960;""duration"":12};{""start"":998;""end"":1007;""duration"":14};{""start"":1023;""end"":1029;""duration"":11};{""start"":1070;""end"":1082;""duration"":17};{""start"":1168;""end"":1169;""duration"":6};{""start"":1208;""end"":1215;""duration"":12};{""start"":1367;""end"":1368;""duration"":6}]"
"ec296e97c0","26/8/2019","[{""start"":450;""end"":457;""duration"":12};{""start"":529;""end"":533;""duration"":9};{""start"":604;""end"":605;""duration"":6};{""start"":638;""end"":657;""duration"":24};{""start"":670;""end"":689;""duration"":24};{""start"":697;""end"":704;""duration"":12};{""start"":712;""end"":714;""duration"":7};{""start"":724;""end"":764;""duration"":45};{""start"":830;""end"":844;""duration"":19};{""start"":855;""end"":886;""duration"":36};{""start"":893;""end"":901;""duration"":13};{""start"":925;""end"":929;""duration"":9};{""start"":944;""end"":958;""duration"":19};{""start"":1069;""end"":1092;""duration"":28};{""start"":1110;""end"":1114;""duration"":9};{""start"":1189;""end"":1193;""duration"":9}]"
"ec296e97c0","28/8/2019","[{""start"":447;""end"":456;""duration"":14};{""start"":516;""end"":518;""duration"":7};{""start"":534;""end"":548;""duration"":19};{""start"":645;""end"":651;""duration"":11};{""start"":675;""end"":729;""duration"":59};{""start"":742;""end"":745;""duration"":8};{""start"":752;""end"":754;""duration"":7};{""start"":796;""end"":846;""duration"":55};{""start"":858;""end"":883;""duration"":30};{""start"":909;""end"":916;""duration"":12};{""start"":923;""end"":937;""duration"":19};{""start"":961;""end"":999;""duration"":43};{""start"":1055;""end"":1058;""duration"":8};{""start"":1070;""end"":1089;""duration"":24};{""start"":1171;""end"":1182;""duration"":16};{""start"":1210;""end"":1213;""duration"":8};{""start"":1236;""end"":1243;""duration"":12}]"
"ec296e97c0","1/9/2019","[{""start"":980;""end"":982;""duration"":7};{""start"":1181;""end"":1209;""duration"":33};{""start"":1217;""end"":1219;""duration"":7};{""start"":1273;""end"":1281;""duration"":13}]"
"ec296e97c0","30/8/2019","[{""start"":443;""end"":454;""duration"":16};{""start"":536;""end"":539;""duration"":8};{""start"":554;""end"":559;""duration"":10};{""start"":569;""end"":581;""duration"":17};{""start"":591;""end"":600;""duration"":14};{""start"":625;""end"":631;""duration"":11};{""start"":656;""end"":675;""duration"":24};{""start"":681;""end"":686;""duration"":10};{""start"":781;""end"":786;""duration"":10};{""start"":813;""end"":829;""duration"":21};{""start"":847;""end"":857;""duration"":15};{""start"":866;""end"":878;""duration"":17};{""start"":904;""end"":917;""duration"":18};{""start"":968;""end"":974;""duration"":11};{""start"":990;""end"":996;""duration"":11};{""start"":1042;""end"":1044;""duration"":7};{""start"":1055;""end"":1065;""duration"":15};{""start"":1076;""end"":1082;""duration"":11};{""start"":1236;""end"":1241;""duration"":10};{""start"":1368;""end"":1377;""duration"":14}]"
"ec296e97c0","31/8/2019","[{""start"":958;""end"":959;""duration"":6}]"
"4163651d4d","27/8/2019","[{""start"":1185;""end"":1213;""duration"":33}]"
"4163651d4d","31/8/2019","[{""start"":1235;""end"":1246;""duration"":16};{""start"":1260;""end"":1269;""duration"":14}]"
"4163651d4d","26/8/2019","[{""start"":1020;""end"":1026;""duration"":11};{""start"":1035;""end"":1046;""duration"":16};{""start"":1055;""end"":1062;""duration"":12};{""start"":1075;""end"":1076;""duration"":6};{""start"":1100;""end"":1105;""duration"":10};{""start"":1145;""end"":1148;""duration"":8};{""start"":1165;""end"":1170;""duration"":10};{""start"":1190;""end"":1194;""duration"":9}]"
"871f153448","28/8/2019","[{""start"":530;""end"":533;""duration"":8};{""start"":790;""end"":791;""duration"":6}]"
"871f153448","29/8/2019","[{""start"":610;""end"":611;""duration"":6};{""start"":1290;""end"":1321;""duration"":36}]"
"871f153448","30/8/2019","[{""start"":845;""end"":853;""duration"":13};{""start"":860;""end"":866;""duration"":11};{""start"":1255;""end"":1256;""duration"":6};{""start"":1380;""end"":1385;""duration"":10}]"
"f90a0e524a","28/8/2019","[{""start"":1100;""end"":1119;""duration"":24};{""start"":1140;""end"":1149;""duration"":14};{""start"":1355;""end"":1364;""duration"":14}]"
"f90a0e524a","31/8/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":860;""end"":873;""duration"":18};{""start"":879;""end"":919;""duration"":45};{""start"":931;""end"":933;""duration"":7};{""start"":947;""end"":951;""duration"":9};{""start"":957;""end"":980;""duration"":28};{""start"":987;""end"":998;""duration"":16};{""start"":1017;""end"":1024;""duration"":12};{""start"":1038;""end"":1048;""duration"":15};{""start"":1054;""end"":1095;""duration"":46};{""start"":1103;""end"":1104;""duration"":6};{""start"":1111;""end"":1121;""duration"":15};{""start"":1129;""end"":1233;""duration"":109};{""start"":1239;""end"":1259;""duration"":25};{""start"":1266;""end"":1272;""duration"":11};{""start"":1279;""end"":1304;""duration"":30};{""start"":1312;""end"":1338;""duration"":31};{""start"":1350;""end"":1374;""duration"":29}]"
"f90a0e524a","30/8/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":768;""end"":781;""duration"":18};{""start"":867;""end"":875;""duration"":13};{""start"":886;""end"":889;""duration"":8};{""start"":948;""end"":949;""duration"":6};{""start"":959;""end"":979;""duration"":25};{""start"":1010;""end"":1029;""duration"":24};{""start"":1035;""end"":1040;""duration"":10};{""start"":1062;""end"":1063;""duration"":6};{""start"":1073;""end"":1076;""duration"":8};{""start"":1093;""end"":1099;""duration"":11};{""start"":1124;""end"":1126;""duration"":7};{""start"":1133;""end"":1142;""duration"":14};{""start"":1156;""end"":1160;""duration"":9};{""start"":1182;""end"":1184;""duration"":7};{""start"":1202;""end"":1210;""duration"":13};{""start"":1221;""end"":1222;""duration"":6};{""start"":1242;""end"":1270;""duration"":33};{""start"":1277;""end"":1278;""duration"":6};{""start"":1290;""end"":1292;""duration"":7};{""start"":1299;""end"":1300;""duration"":6};{""start"":1311;""end"":1337;""duration"":31};{""start"":1350;""end"":1361;""duration"":16}]"
"f90a0e524a","1/9/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":602;""end"":604;""duration"":7};{""start"":680;""end"":683;""duration"":8};{""start"":715;""end"":716;""duration"":6};{""start"":745;""end"":750;""duration"":10}]"
"f90a0e524a","27/8/2019","[{""start"":1100;""end"":1119;""duration"":24};{""start"":1140;""end"":1149;""duration"":14};{""start"":1355;""end"":1364;""duration"":14}]"
"084a23d7a0","27/8/2019","[{""start"":1050;""end"":1053;""duration"":8};{""start"":1065;""end"":1066;""duration"":6};{""start"":1090;""end"":1094;""duration"":9}]"
"084a23d7a0","30/8/2019","[{""start"":425;""end"":426;""duration"":6}]"
"084a23d7a0","28/8/2019","[{""start"":380;""end"":386;""duration"":11};{""start"":1050;""end"":1055;""duration"":10};{""start"":1105;""end"":1113;""duration"":13};{""start"":1155;""end"":1170;""duration"":20}]"
"084a23d7a0","26/8/2019","[{""start"":420;""end"":425;""duration"":10}]"
"084a23d7a0","31/8/2019","[{""start"":560;""end"":565;""duration"":10};{""start"":585;""end"":606;""duration"":26};{""start"":620;""end"":624;""duration"":9};{""start"":860;""end"":865;""duration"":10}]"
"084a23d7a0","1/9/2019","[{""start"":525;""end"":529;""duration"":9};{""start"":585;""end"":624;""duration"":44};{""start"":665;""end"":666;""duration"":6};{""start"":870;""end"":872;""duration"":7};{""start"":885;""end"":897;""duration"":17}]"
"084a23d7a0","29/8/2019","[{""start"":580;""end"":589;""duration"":14};{""start"":595;""end"":596;""duration"":6};{""start"":765;""end"":770;""duration"":10};{""start"":890;""end"":921;""duration"":36};{""start"":965;""end"":970;""duration"":10}]"
"a17aac607d","26/8/2019","[{""start"":720;""end"":721;""duration"":6};{""start"":785;""end"":786;""duration"":6};{""start"":1095;""end"":1099;""duration"":9};{""start"":1105;""end"":1164;""duration"":64};{""start"":1170;""end"":1175;""duration"":10};{""start"":1215;""end"":1222;""duration"":12}]"
"a17aac607d","27/8/2019","[{""start"":1100;""end"":1105;""duration"":10}]"
"a17aac607d","28/8/2019","[{""start"":560;""end"":565;""duration"":10};{""start"":585;""end"":586;""duration"":6}]"
"a17aac607d","31/8/2019","[{""start"":630;""end"":631;""duration"":6}]"
"a17aac607d","30/8/2019","[{""start"":1195;""end"":1205;""duration"":15};{""start"":1290;""end"":1295;""duration"":10}]"
"a17aac607d","29/8/2019","[{""start"":1150;""end"":1164;""duration"":19}]"
